#,Date-Time (CST/CDT),Ch: 1 - S25-15cmTemp   (°C),Host Connected,End of File
1,10/22/2022 09:18:06,7.50,,
2,10/22/2022 10:18:06,6.65,,
3,10/22/2022 11:18:06,6.39,,
4,10/22/2022 12:18:06,6.30,,
5,10/22/2022 13:18:06,6.22,,
6,10/22/2022 14:18:06,6.26,,
7,10/22/2022 15:18:06,6.22,,
8,10/22/2022 16:18:06,6.22,,
9,10/22/2022 17:18:06,6.22,,
10,10/22/2022 18:18:06,6.26,,
11,10/22/2022 19:18:06,6.26,,
12,10/22/2022 20:18:06,6.26,,
13,10/22/2022 21:18:06,6.30,,
14,10/22/2022 22:18:06,6.35,,
15,10/22/2022 23:18:06,6.30,,
16,10/23/2022 00:18:06,6.39,,
17,10/23/2022 01:18:06,6.39,,
18,10/23/2022 02:18:06,6.39,,
19,10/23/2022 03:18:06,6.39,,
20,10/23/2022 04:18:06,6.43,,
21,10/23/2022 05:18:06,6.39,,
22,10/23/2022 06:18:06,6.43,,
23,10/23/2022 07:18:06,6.39,,
24,10/23/2022 08:18:06,6.43,,
25,10/23/2022 09:18:06,6.43,,
26,10/23/2022 10:18:06,6.43,,
27,10/23/2022 11:18:06,6.39,,
28,10/23/2022 12:18:06,6.39,,
29,10/23/2022 13:18:06,6.39,,
30,10/23/2022 14:18:06,6.39,,
31,10/23/2022 15:18:06,6.39,,
32,10/23/2022 16:18:06,6.39,,
33,10/23/2022 17:18:06,6.43,,
34,10/23/2022 18:18:06,6.43,,
35,10/23/2022 19:18:06,6.48,,
36,10/23/2022 20:18:06,6.56,,
37,10/23/2022 21:18:06,6.56,,
38,10/23/2022 22:18:06,6.60,,
39,10/23/2022 23:18:06,6.65,,
40,10/24/2022 00:18:06,6.73,,
41,10/24/2022 01:18:06,6.78,,
42,10/24/2022 02:18:06,6.82,,
43,10/24/2022 03:18:06,6.82,,
44,10/24/2022 04:18:06,6.90,,
45,10/24/2022 05:18:06,6.90,,
46,10/24/2022 06:18:06,6.95,,
47,10/24/2022 07:18:06,6.99,,
48,10/24/2022 08:18:06,7.08,,
49,10/24/2022 09:18:06,7.08,,
50,10/24/2022 10:18:06,7.12,,
51,10/24/2022 11:18:06,7.16,,
52,10/24/2022 12:18:06,7.25,,
53,10/24/2022 13:18:06,7.25,,
54,10/24/2022 14:18:06,7.25,,
55,10/24/2022 15:18:06,7.33,,
56,10/24/2022 16:18:06,7.33,,
57,10/24/2022 17:18:06,7.46,,
58,10/24/2022 18:18:06,7.42,,
59,10/24/2022 19:18:06,7.46,,
60,10/24/2022 20:18:06,7.50,,
61,10/24/2022 21:18:06,7.50,,
62,10/24/2022 22:18:06,7.55,,
63,10/24/2022 23:18:06,7.55,,
64,10/25/2022 00:18:06,7.55,,
65,10/25/2022 01:18:06,7.55,,
66,10/25/2022 02:18:06,7.55,,
67,10/25/2022 03:18:06,7.59,,
68,10/25/2022 04:18:06,7.59,,
69,10/25/2022 05:18:06,7.59,,
70,10/25/2022 06:18:06,7.55,,
71,10/25/2022 07:18:06,7.55,,
72,10/25/2022 08:18:06,7.50,,
73,10/25/2022 09:18:06,7.50,,
74,10/25/2022 10:18:06,7.50,,
75,10/25/2022 11:18:06,7.46,,
76,10/25/2022 12:18:06,7.42,,
77,10/25/2022 13:18:06,7.42,,
78,10/25/2022 14:18:06,7.38,,
79,10/25/2022 15:18:06,7.42,,
80,10/25/2022 16:18:06,7.33,,
81,10/25/2022 17:18:06,7.33,,
82,10/25/2022 18:18:06,7.29,,
83,10/25/2022 19:18:06,7.29,,
84,10/25/2022 20:18:06,7.25,,
85,10/25/2022 21:18:06,7.29,,
86,10/25/2022 22:18:06,7.20,,
87,10/25/2022 23:18:06,7.20,,
88,10/26/2022 00:18:06,7.20,,
89,10/26/2022 01:18:06,7.16,,
90,10/26/2022 02:18:06,7.16,,
91,10/26/2022 03:18:06,7.12,,
92,10/26/2022 04:18:06,7.08,,
93,10/26/2022 05:18:06,7.08,,
94,10/26/2022 06:18:06,7.03,,
95,10/26/2022 07:18:06,7.08,,
96,10/26/2022 08:18:06,6.99,,
97,10/26/2022 09:18:06,6.99,,
98,10/26/2022 10:18:06,6.95,,
99,10/26/2022 11:18:06,6.95,,
100,10/26/2022 12:18:06,6.90,,
101,10/26/2022 13:18:06,6.90,,
102,10/26/2022 14:18:06,6.82,,
103,10/26/2022 15:18:06,6.82,,
104,10/26/2022 16:18:06,6.82,,
105,10/26/2022 17:18:06,6.78,,
106,10/26/2022 18:18:06,6.82,,
107,10/26/2022 19:18:06,6.82,,
108,10/26/2022 20:18:06,6.78,,
109,10/26/2022 21:18:06,6.78,,
110,10/26/2022 22:18:06,6.78,,
111,10/26/2022 23:18:06,6.73,,
112,10/27/2022 00:18:06,6.73,,
113,10/27/2022 01:18:06,6.69,,
114,10/27/2022 02:18:06,6.69,,
115,10/27/2022 03:18:06,6.65,,
116,10/27/2022 04:18:06,6.60,,
117,10/27/2022 05:18:06,6.56,,
118,10/27/2022 06:18:06,6.52,,
119,10/27/2022 07:18:06,6.52,,
120,10/27/2022 08:18:06,6.48,,
121,10/27/2022 09:18:06,6.43,,
122,10/27/2022 10:18:06,6.39,,
123,10/27/2022 11:18:06,6.35,,
124,10/27/2022 12:18:06,6.30,,
125,10/27/2022 13:18:06,6.22,,
126,10/27/2022 14:18:06,6.22,,
127,10/27/2022 15:18:06,6.22,,
128,10/27/2022 16:18:06,6.13,,
129,10/27/2022 17:18:06,6.22,,
130,10/27/2022 18:18:06,6.13,,
131,10/27/2022 19:18:06,6.13,,
132,10/27/2022 20:18:06,6.13,,
133,10/27/2022 21:18:06,6.13,,
134,10/27/2022 22:18:06,6.13,,
135,10/27/2022 23:18:06,6.17,,
136,10/28/2022 00:18:06,6.13,,
137,10/28/2022 01:18:06,6.17,,
138,10/28/2022 02:18:06,6.13,,
139,10/28/2022 03:18:06,6.26,,
140,10/28/2022 04:18:06,6.17,,
141,10/28/2022 05:18:06,6.22,,
142,10/28/2022 06:18:06,6.22,,
143,10/28/2022 07:18:06,6.26,,
144,10/28/2022 08:18:06,6.26,,
145,10/28/2022 09:18:06,6.26,,
146,10/28/2022 10:18:06,6.26,,
147,10/28/2022 11:18:06,6.17,,
148,10/28/2022 12:18:06,6.26,,
149,10/28/2022 13:18:06,6.26,,
150,10/28/2022 14:18:06,6.30,,
151,10/28/2022 15:18:06,6.26,,
152,10/28/2022 16:18:06,6.30,,
153,10/28/2022 17:18:06,6.30,,
154,10/28/2022 18:18:06,6.30,,
155,10/28/2022 19:18:06,6.35,,
156,10/28/2022 20:18:06,6.39,,
157,10/28/2022 21:18:06,6.39,,
158,10/28/2022 22:18:06,6.39,,
159,10/28/2022 23:18:06,6.43,,
160,10/29/2022 00:18:06,6.48,,
161,10/29/2022 01:18:06,6.48,,
162,10/29/2022 02:18:06,6.48,,
163,10/29/2022 03:18:06,6.56,,
164,10/29/2022 04:18:06,6.48,,
165,10/29/2022 05:18:06,6.48,,
166,10/29/2022 06:18:06,6.52,,
167,10/29/2022 07:18:06,6.52,,
168,10/29/2022 08:18:06,6.56,,
169,10/29/2022 09:18:06,6.52,,
170,10/29/2022 10:18:06,6.56,,
171,10/29/2022 11:18:06,6.56,,
172,10/29/2022 12:18:06,6.56,,
173,10/29/2022 13:18:06,6.52,,
174,10/29/2022 14:18:06,6.56,,
175,10/29/2022 15:18:06,6.60,,
176,10/29/2022 16:18:06,6.56,,
177,10/29/2022 17:18:06,6.60,,
178,10/29/2022 18:18:06,6.60,,
179,10/29/2022 19:18:06,6.60,,
180,10/29/2022 20:18:06,6.65,,
181,10/29/2022 21:18:06,6.73,,
182,10/29/2022 22:18:06,6.69,,
183,10/29/2022 23:18:06,6.69,,
184,10/30/2022 00:18:06,6.73,,
185,10/30/2022 01:18:06,6.78,,
186,10/30/2022 02:18:06,6.73,,
187,10/30/2022 03:18:06,6.73,,
188,10/30/2022 04:18:06,6.82,,
189,10/30/2022 05:18:06,6.78,,
190,10/30/2022 06:18:06,6.73,,
191,10/30/2022 07:18:06,6.82,,
192,10/30/2022 08:18:06,6.73,,
193,10/30/2022 09:18:06,6.73,,
194,10/30/2022 10:18:06,6.73,,
195,10/30/2022 11:18:06,6.69,,
196,10/30/2022 12:18:06,6.65,,
197,10/30/2022 13:18:06,6.73,,
198,10/30/2022 14:18:06,6.65,,
199,10/30/2022 15:18:06,6.65,,
200,10/30/2022 16:18:06,6.56,,
201,10/30/2022 17:18:06,6.65,,
202,10/30/2022 18:18:06,6.69,,
203,10/30/2022 19:18:06,6.69,,
204,10/30/2022 20:18:06,6.65,,
205,10/30/2022 21:18:06,6.69,,
206,10/30/2022 22:18:06,6.69,,
207,10/30/2022 23:18:06,6.65,,
208,10/31/2022 00:18:06,6.65,,
209,10/31/2022 01:18:06,6.69,,
210,10/31/2022 02:18:06,6.65,,
211,10/31/2022 03:18:06,6.65,,
212,10/31/2022 04:18:06,6.60,,
213,10/31/2022 05:18:06,6.56,,
214,10/31/2022 06:18:06,6.56,,
215,10/31/2022 07:18:06,6.52,,
216,10/31/2022 08:18:06,6.48,,
217,10/31/2022 09:18:06,6.48,,
218,10/31/2022 10:18:06,6.39,,
219,10/31/2022 11:18:06,6.35,,
220,10/31/2022 12:18:06,6.35,,
221,10/31/2022 13:18:06,6.35,,
222,10/31/2022 14:18:06,6.26,,
223,10/31/2022 15:18:06,6.26,,
224,10/31/2022 16:18:06,6.26,,
225,10/31/2022 17:18:06,6.26,,
226,10/31/2022 18:18:06,6.22,,
227,10/31/2022 19:18:06,6.22,,
228,10/31/2022 20:18:06,6.26,,
229,10/31/2022 21:18:06,6.22,,
230,10/31/2022 22:18:06,6.26,,
231,10/31/2022 23:18:06,6.30,,
232,11/01/2022 00:18:06,6.30,,
233,11/01/2022 01:18:06,6.26,,
234,11/01/2022 02:18:06,6.30,,
235,11/01/2022 03:18:06,6.26,,
236,11/01/2022 04:18:06,6.30,,
237,11/01/2022 05:18:06,6.30,,
238,11/01/2022 06:18:06,6.30,,
239,11/01/2022 07:18:06,6.30,,
240,11/01/2022 08:18:06,6.26,,
241,11/01/2022 09:18:06,6.26,,
242,11/01/2022 10:18:06,6.22,,
243,11/01/2022 11:18:06,6.13,,
244,11/01/2022 12:18:06,6.17,,
245,11/01/2022 13:18:06,6.17,,
246,11/01/2022 14:18:06,6.13,,
247,11/01/2022 15:18:06,6.13,,
248,11/01/2022 16:18:06,6.05,,
