Stake_ID,X,Zone,X..Sky.Area,X..Mask.Area,X..Cnpy.Open,X..Site.Open,LAI.4Ring,LAI.5Ring,Watershed,OLS.Prediction.Ring.4,WLS.Prediction.Ring.4,OLS.Prediction.Ring.5,WLS.Prediction.Ring.5,Summer.LAI.4Ring,Summer.LAI.5Ring,DIST_FT,DIST_M,DBH_IN,DBH_CM,DIST_FT_SD,DIST_M_SD,DBH_IN_SD,DBH_CM_SD,n,basalArea_m2,BIOMASS,Co,Dom,Int,Sup,prop_Deciduous,prop_Coniferous,WATERSHED,avg_depths,max_depths
S200,0,Upland,99.89,0.11,40.8475,40.8475,0.625,0.8425,S2,0.35474105538909934,0.42540951025007084,0.38070944948362234,0.43863458158117297,1.2175,1.1025,17.566666666666666,5.35432,8.261154910166667,20.983333333333334,4.23241459846898,1.290039969613345,3.0018506850109725,7.624700689604846,12,4.6518546625,2462.2997239199103,7,2,3,0,1,0,S2,32.015625,70
S201,1,Upland,99.89,0.11,39.3125,39.3125,0.6425000000000001,0.865,S2,0.37136134783920305,0.4421297867961926,0.4038039646843095,0.46231795213953814,1.3525,1.3325,14.7,4.4805600000000005,9.534120797833333,24.21666666666667,5.262967179207159,1.6041523962223423,4.554939691406104,11.569546739812493,18,10.077594288750001,5932.996800489448,9,3,6,0,0.8888888888888888,0.1111111111111111,S2,30.71875,59
S203,3,Upland,99.91,0.09,22.1525,22.1525,1.6025,1.81,S2,1.283103105102031,1.3593563858977247,1.3737736031131726,1.4570195155908765,1.77,1.9225,16.4875,5.02539,5.725885864562501,14.54375,6.042943543230125,1.8418891919765423,1.5687527411254452,3.98463193616006,16,2.84501308375,1275.175929104483,11,3,2,0,0.5625,0.4375,S2,27.4375,49
S204,4,Upland,99.89,0.11,12.6975,12.6975,2.0675,2.1775,S2,1.7247280187762133,1.8036380198375292,1.7509840180577307,1.8438479013775082,1.8599999999999999,1.82,18,5.486400000000001,7.533464616650001,19.135,5.862638170294111,1.7869321143056451,1.990276415860437,5.055302062920516,20,6.13262424875,2968.872901431967,16,0,4,0,0.35,0.65,S2,18.21875,36
S205,5,Upland,99.8825,0.1175,31.305,31.305,1.04,1.23,S2,0.7488794192058427,0.8219189254866707,0.7784483223843466,0.8465148523085736,1.68,1.635,18.42142857142857,5.614851428571429,9.3897638415,23.85,4.967924589330511,1.5142234148279399,5.624650778786538,14.286612883826162,14,8.338255691250001,5330.609879072528,3,4,4,3,0.8571428571428571,0.14285714285714285,S2,30.828125,62
S211,6,Lagg,99.88499999999999,0.11499999999999999,23.8025,23.8025,1.22,1.53,S2,0.9198309986926229,0.993898912818208,1.086375191726843,1.1622931264201095,1.255,1.3225,15.142857142857142,4.615542857142858,6.962879686,17.685714285714287,3.6450226989952306,1.1110029186537462,2.1194646664024326,5.383440217131475,7,1.8561395675,801.0294471543175,4,1,2,0,0.14285714285714285,0.8571428571428571,S2,35.234375,64
S212,7,Lagg,99.9,0.1,17.21,17.21,1.7975,1.9475,S2,1.468300649546043,1.5456680388402235,1.5149067515618166,1.6017512245586638,1.335,1.2525,16.075,4.89966,6.714004543750001,17.053571428571427,6.3440625493156695,1.9336702650314161,4.315217718291854,10.960652932121,28,8.94286878125,4025.516523724909,12,2,13,1,0.32142857142857145,0.6785714285714286,S2,28.375,58
S213,8,Bog,99.89,0.11,16.7175,16.7175,2.1550000000000002,2.2175000000000002,S2,1.8078294810267317,1.8872394025681378,1.7920409339700636,1.8859516712590465,0.855,0.985,19.136363636363637,5.832763636363636,5.991410204181818,15.218181818181819,6.8760850383445264,2.0958307196874117,0.8888955096432056,2.2577945795922982,11,2.0407969375,785.4691287513823,8,1,2,0,0,1,S2,38.46875,78
S215,9,Upland,99.8825,0.1175,52.0075,52.0075,0.2825,0.48,S2,0.02945818886564243,0.09816981213311793,0.008631149028106013,0.05706916702973359,0.8225,0.8674999999999999,14.366666666666667,4.378960000000001,8.989501371666668,22.833333333333332,4.707794954470016,1.434935902122461,4.163808541482393,10.576073625563192,3,1.40408557125,793.9795922676354,2,0,1,0,0.6666666666666666,0.3333333333333333,S2,36.796875,76
S220,10,Upland,99.89,0.11,44.4575,44.4575,0.51,0.6825,S2,0.2455219907169897,0.3155334072326998,0.21648178583429098,0.2702195020550204,1.0175,1.095,15.274999999999999,4.65582,10.738189047250001,27.275,8.560332103036991,2.6091892250056747,5.606796488077561,14.241262985724667,8,5.7890776625000004,3757.6438709387594,2,2,3,1,1,0,S2,35.703125,68
S221,11,Bog,99.89,0.11,12.56,12.56,2.34,2.14,S2,1.9835297154992555,2.0639966117699955,1.7124931593899186,1.804375617113566,2.0149999999999997,1.74,13.25,4.0386,4.730033777,12.014285714285714,6.405616525903113,1.952431917095269,0.8276879322808997,2.1023273341181246,14,1.6322134475,710.4943708476472,11,0,2,1,0.7142857142857143,0.2857142857142857,S2,27.171875,56
S222,12,Bog,99.8925,0.1075,15.09,15.09,2.175,2.1075,S2,1.8268241009697068,1.9063482900494195,1.679134415211148,1.7701663040848163,0.895,0.9,16.03846153846154,4.888523076923077,6.917020033538462,17.56923076923077,4.675563862883004,1.4251118654067396,2.063607181321575,5.241562205962489,13,3.4104909375,1454.2543382009364,9,0,0,4,0,1,S2,36.953125,63
S223,13,Bog,99.88499999999999,0.11499999999999999,21.7025,21.7025,1.5325,1.5975000000000001,S2,1.2166219353016163,1.292475279713238,1.1556587373289047,1.2333432380952054,0.695,0.785,16.633333333333333,5.06984,6.096737948,15.485714285714286,5.903755866677868,1.799464788163414,1.1345337707792609,2.881715758759998,21,4.085552165,1647.7031920282936,19,0,2,0,0,1,S2,38.203125,69
S224,14,Lagg,99.89,0.11,19.9225,19.9225,1.6549999999999998,1.6324999999999998,S2,1.3329639824523416,1.4095172155360896,1.1915835387521956,1.270184036741551,1.48,1.57,14.746153846153847,4.494627692307692,5.24227744223077,13.315384615384616,7.862634777288441,2.3965310801175166,2.0137096993666543,5.114822602633473,13,2.05676361125,968.1454908698863,11,0,2,0,0.46153846153846156,0.5384615384615384,S2,37.78125,64
S225,15,Lagg,99.8875,0.1125,26.955,26.955,1.19,1.275,S2,0.8913390687781595,0.965235581596285,0.8246373527857209,0.8938815934253038,1.94,1.7725,14.040000000000001,4.2793920000000005,7.283464615000001,18.5,8.950307257295696,2.7280536520237284,0.7913287942874074,2.0099751242241783,5,1.3566646287500002,569.6549621132532,0,5,0,0,0,1,S2,40.40625,61
S226,16,Upland,99.89,0.11,47.129999999999995,47.129999999999995,0.4175,0.595,S2,0.15767187348072761,0.2271548026317709,0.12666978227606288,0.17811750543915572,2.5549999999999997,2.49,13.25,4.0386,9.1692913991,23.29,6.129210570882862,1.8681833820050964,2.3411463077476973,5.946511582432175,10,4.51000808375,2770.3578219721835,7,1,1,1,1,0,S2,32.3125,59
S232,17,Lagg,99.89,0.11,31.730000000000004,31.730000000000004,0.9475,1.13,S2,0.6610293019695807,0.7335403208857418,0.6758060326035144,0.7412554276047282,2.1725,2.3,17.942857142857143,5.468982857142858,11.614173305,29.5,6.987812519631863,2.1298852559837917,5.023607681708885,12.759963427324807,7,5.551540993750001,3285.4568453800102,4,0,3,0,0.5714285714285714,0.42857142857142855,S2,36.125,66
S233,18,Bog,99.89,0.11,18.165,18.165,1.6275,1.7825,S2,1.3068463800307504,1.383242495249327,1.3455469734234438,1.428073173797319,1.6375,1.6025,19.521428571428572,5.950131428571429,6.782902182000001,17.228571428571428,6.3919635326085675,1.9482704847390915,1.5702864291720582,3.9885275037727452,14,3.4260727775,1448.5360648154126,9,2,2,1,0.07142857142857142,0.9285714285714286,S2,35.3125,68
S234,19,Bog,99.89,0.11,28.490000000000002,28.490000000000002,1.0725,1.1949999999999998,S2,0.7797456766131781,0.8529708676437538,0.7425235209610552,0.8096740536622276,0.9125,1.0175,19.08076923076923,5.815818461538462,5.449727473884615,13.842307692307692,4.966690586760502,1.5138472908446012,1.0129775551957307,2.5729629732156,26,4.04260000625,1571.4876124948398,0,20,6,0,0,1,S2,39.6875,70
S235,20,Lagg,99.89,0.11,38.0125,38.0125,0.775,0.86,S2,0.4972007049614162,0.5687261663596852,0.3986718501952679,0.4570549809043458,1.0075,0.985,13.9,4.23672,5.614173265400001,14.26,2.8398943642325856,0.865599802218092,1.2594118441451567,3.198906063015918,5,0.83066757625,323.24817245140133,2,2,1,0,0,1,S2,41.296875,75
S236,21,Upland,99.8925,0.1075,44.915,44.915,0.5025,0.6725,S2,0.23839900823837382,0.308367574427219,0.20621755685620777,0.25969355958463586,2.5775,2.4775,16.68,5.084064000000001,7.2125984728,18.32,6.8907022702898555,2.100286051984348,2.783439526438191,7.0699363504914245,10,2.98920008,1597.2736204674618,7,0,2,1,0.8,0.2,S2,34.5,57
S243,22,Upland,99.89,0.11,38.79,38.79,0.68,0.8225,S2,0.4069762602322822,0.47795895082359613,0.3601809915274559,0.41758269664040387,2.8674999999999997,2.48,16.057142857142857,4.894217142857143,6.715410618,17.057142857142857,7.12316810201218,2.1711416374933123,4.465040088674591,11.341201750381533,7,2.205615735,1038.018964079806,5,1,1,0,0.8571428571428571,0.14285714285714285,S2,34.640625,66
S244,23,Upland,99.89,0.11,40.2025,40.2025,0.7025,0.76,S2,0.4283452076681297,0.4994564492400383,0.29602956041443584,0.3517955562005005,2.525,2.105,15.799999999999999,4.815840000000001,7.075365626,17.97142857142857,7.142595233293474,2.177063027107851,4.156836196870506,10.558363870365882,7,2.3008974300000005,1289.365606206606,5,1,1,0,0.8571428571428571,0.14285714285714285,S2,36.453125,65
